"","statefp","PVI","dem_chance","Non.Hispanic.White","African.American","Hispanic.Latino","Asian","Native.American","Pacific.Islander","minority_chance","z_pvi","cbsa_code","within_state","counter","msa","state","case.count","pew_z_cbsa","actual_dists","state","pew_z_state","cases_state","pvi_state","z_diff_cbsa","z_diff_state","pvi_bin","pew_bin","pvi_ratio","pew_ratio","tot_pop","dist_pop","ideal_dists","seat_ratio"
"11",36,18.8805263157895,77.9688910438665,49.2758156061585,17.1798540892534,21.978330810151,9.47870190034862,0.172938398532134,0.0288242726301529,39.1353490713586,1.10812081444034,35620,0,1,"New York City","New York",920,0.360704767087257,19,"New York",0.272208247896774,1564,0.77914135226147,0.747416047353082,0.506933104364696,"Liberal","Liberal",1.42223334857533,1.32510594324108,13038826,719298,18.1271545312235,0.954060764801237
"12",34,3.34333333333333,59.4721611272359,73.3134118279552,12.3221947133664,9.21968809868051,3.68069939237123,0.188397067952325,0.0246682868936765,5.06499477592223,0.174397282009938,37980,0,1,"Philadelphia","New Jersey",100,-0.048176028122161,3,"New Jersey",0.207963875453129,696,0.458601398573216,0.222573310132099,0.250637523120087,"Liberal","Conservative",0.380280746095665,-0.231655752794523,1316762,733958,1.79405633564863,0.598018778549545
"13",42,10.8985714285714,61.5148545130556,69.696285581623,17.1885592800943,7.11782490811044,4.63773116317095,0.148359117418484,0.0252272812799628,24.3703600204738,0.628437056800922,37980,0,1,"Philadelphia","Pennsylvania",341,0.276663831122867,7,"Pennsylvania",-0.105137957760297,1093,-0.0777723147480575,0.351773225678055,0.0273656430122395,"Liberal","Liberal",-8.08047257995003,-2.63143622927916,4008994,707495,5.6664626605135,0.809494665787643
"14",4,-2.7025,39.4015359193476,61.7104314753021,3.71810652645175,26.2124159236079,2.76834228675976,4.07635633664445,0.170920348563423,27.764958910263,-0.188933267006199,38060,1,1,"Phoenix","Arizona",338,-0.0313686834942731,8,"Arizona",-0.0874033911421543,532,-0.175094487997039,0.157564583511926,0.0876910968548846,"Conservative","Conservative",1.07903606314206,0.358895496895018,4192887,712522,5.88457198514572,0.735571498143215
"15",6,3.00888888888889,57.2250699620348,41.679500100342,5.88110471805095,37.77933198648,12.1037107393354,0.497739240193958,0.239942349315598,33.7962667145314,0.154298500433304,40140,1,1,"Riverside","California",290,0.0105391476427882,9,"California",0.250055788055695,2948,0.747433664959208,0.143759352790516,0.497377876903513,"Liberal","Liberal",0.206437718378293,0.0421471853330618,4224851,704566,5.99638784727052,0.666265316363391
"16",6,5.886,65.7605743757585,51.8289113345584,4.49304529933805,30.2011979606614,10.2477934583537,0.486145896414511,0.413934441570429,25.701218309754,0.327201440680929,41740,1,1,"San Diego","California",259,0.228829788769605,5,"California",0.250055788055695,2948,0.747433664959208,0.0983716519113238,0.497377876903513,"Liberal","Liberal",0.437766528349758,0.915114945144312,3095313,704566,4.39321937192541,0.878643874385083
"17",6,24.423,99.0861664777164,48.3332400395424,6.34616531172513,19.5444352506123,21.9982521733667,0.465467160118767,0.540658967550277,26.155786381299,1.44120144957611,41860,1,1,"San Francisco","California",407,0.633340703242678,10,"California",0.250055788055695,2948,0.747433664959208,0.807860746333435,0.497377876903513,"Liberal","Liberal",1.92819980841346,2.5327976135534,4335391,704566,6.15327875600015,0.615327875600015
"18",53,11.4385714285714,85.1577934301731,74.6657920995542,4.10307222701075,7.2581492694795,9.29090666006786,1.1096524279533,0.627229764100859,5.58346908948295,0.660888910110703,42660,1,1,"Seattle","Washington",268,0.347573053641177,7,"Washington",0.15564283385187,569,0.305266391684503,0.313315856469526,0.149623557832633,"Liberal","Liberal",2.16495797805918,2.2331452405446,3439809,675337,5.0934703710888,0.727638624441258
"19",24,15.188,96.2344938142009,55.7401403933707,26.1825433231453,9.61954809727013,6.46299334879284,0.233712393582447,0.0475161346516435,33.3138445820635,0.88621466195422,47900,0,1,"Washington DC","Maryland",269,0.363760202686484,5,"Maryland",0.145873915359627,521,0.714760703634214,0.522454459267736,0.568886788274587,"Liberal","Liberal",1.23987602766667,2.49366174747347,2303870,723741,3.18327965390934,0.636655930781868
"20",51,0.535714285714286,41.5921970522338,68.6863936398169,13.5320572642831,8.74718518839819,7.12214433575412,0.232544734272323,0.0562269780448871,6.36481308479617,0.00567053852275505,47900,0,1,"Washington DC","Virginia",258,0.20362776815156,7,"Virginia",-0.0830165483765514,736,0.00898752689616934,0.197957229628805,0.0920040752727207,"Liberal","Liberal",0.630934247904386,-2.452857558326,959739,730703,1.31344609232479,0.187635156046398
